Store;Name;Region;17 09 04;15 01 03;15 01 02;15 01 01;17 04 05;16 02 13*;16 02 14;16 03 06;16 06 05;16 02 16;07 04 80*;16 03 05*;07 04 81;16 06 04;02 01 08*;20 03 07;20 01 36;17 09 03*;17 01 07;02 01 03;03 01 05;17 01 03;17 01 02;15 01 10*;15 01 11*;13 02 08*;17 01 01;15 01 06;17 04 07;16 03 03*;17 02 03;08 01 12;16 03 04;15 02 02*;16 02 11*;15 02 03;08 01 11*;20 02 01;13 07 03*;17 06 04;16 01 03;16 01 19;20 01 21*;13 02 05*;07 04 04*;20 03 99;08 03 18;15 01 04;17 04 02;17 02 01;16 06 01*;13 03 07*;07 02 13;20 01 29*;17 04 01;20 01 34;17 03 80;15 01 05;15 01 07;20 01 02;20 01 38;16 02 15*;03 01 04*;14 06 03*;20 01 35*;20 02 03;19 12 01;08 04 09*;08 04 10;20 03 01;17 02 02;15 01 09;20 01 39;06 13 01*;17 01 82;20 01 19*;17 08 02;20 01 01
8016;Bia³ystok Narodowych Si³ Zbrojnych 3;R08;134,58;67,891;8,58;30,92;2,159;0,09;0,038;1,27;;0,09;0,17;0,185;0,105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8057;S³upsk Hubalczyków 2;R07;;81,15;9,485;38,865;2,745;0,018;0,18;;;;0,019;0,997;;;;;;;6,82;;4,58;59,14;;0,037;0,019;0,021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8058;Skierniewice Wyszyñskiego 10;R01;;8,12;8,15;19,97;1,62;;0,049;;;;;;;;;;;;23;;11,02;;;;;;;26,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8069;Skar¿ysko-Kamienna Pi³sudskiego 2;R06;;52,22;5,38;15,14;;;0,272;;;;;;0,006;;;;;;2,7;;;;;0,01;;;;;0,82;0,766;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8000;Siedziba Warszawa Krakowiaków 78;;;;;;;;0,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8000;Siedziba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8038;Rzeszów Reytana 67;R06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8033;Rybnik Obwiednia Pó³nocna 21;R02;;46,1;9,14;27,51;3,048;;1,186;;;;0,05;;;;;;;;222,92;;;;;;;;;;;0,33;;;;;;0,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8027;Rumia Grunwaldzka 5;R07;146,9;118,1;19,295;35,165;;;0,029;;;;0,047;1,227;;;;;;;;;;;;;0,004;0,002;;;;;;;;0,027;;;;;;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8062;Radom Energetyków 1;R01;68,04;;6,92;21,76;;;0,218;;;;0,227;0,275;;;;;0,192;;22,82;;;;;0,702;0,094;;;;1,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8070;Racibórz Rybnicka 95;R05;;40,8;10,04;28,24;5,68;0,124;1,02;;;;0,08;;;;;;;;140,74;;;;;;;;38,68;;;;;;;;;;0,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8060;Pu³awy Fieldorfa Nila 20;R06;;45,2;5,94;16,96;4,41;;0,017;;;;;;;;;;;;33,2;;;;;;;;;;;0,7396;;1,23;;;;;;;;;;;;;;;;0,0067;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8052;Przemyœl Lwowska 17;R06;;33,74;5,59;18,38;1,385;0,013;0,276;;;;;;;;;;;;;;3,2;;;0,015;;0,02;23,88;;;0,025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8003;Poznañ Murawa 39;R04;;87,26;12,84;48,62;5,235;;0,15;;;;;1,115;;;;;;;54,84;;15,8;;;;;;;36,98;;;;0,009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8131;Pabianice Grota Roweckiego 8A;R01;;17,19;6,63;17,69;1,475;;;;;;;;;;;;;;3,9;;0,1;;;;;;;12,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8103;Oœwiêcim Zatorska 1;R02;22,95;4;5,22;26,82;6,862;;0,82;;;;;;;;;;;;;;0,79;;;0,246;;0,02;17,96;9,08;;;;;0,379;0,033;;0,064;0,153;;0,004;;;;;;;;;;;36,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;
