Nr sklepu;Sklep;Odpad;Kod odpadu pojemnika;Inny kod
8033;Rybnik Obwiednia Pó³nocna 21;p³yty OSB i meblowe, panele pod³ogowe, deski kompozytowe, blaty wykonane z materia³ów innych ni¿ drewno;17 01 07 - Zmieszane odpady z betonu, gruzu ceglanego, odpadowych materia³ów ceramicznych i elementów wyposa¿enia inne ni¿ wymienione w 17 01 06;
8033;Rybnik Obwiednia Pó³nocna 21;P³yty G/K;17 01 07 - Zmieszane odpady z betonu, gruzu ceglanego, odpadowych materia³ów ceramicznych i elementów wyposa¿enia inne ni¿ wymienione w 17 01 06;
8033;Rybnik Obwiednia Pó³nocna 21;Produkty z betonu, ceramika, np. p³ytki, bloczki;17 01 07 - Zmieszane odpady z betonu, gruzu ceglanego, odpadowych materia³ów ceramicznych i elementów wyposa¿enia inne ni¿ wymienione w 17 01 06;
8033;Rybnik Obwiednia Pó³nocna 21;"""Pudry"", np. cement, kleje do p³ytek, fugi";17 01 07 - Zmieszane odpady z betonu, gruzu ceglanego, odpadowych materia³ów ceramicznych i elementów wyposa¿enia inne ni¿ wymienione w 17 01 06;
8033;Rybnik Obwiednia Pó³nocna 21;"""Pudry"" bez opakowañ";17 01 07 - Zmieszane odpady z betonu, gruzu ceglanego, odpadowych materia³ów ceramicznych i elementów wyposa¿enia inne ni¿ wymienione w 17 01 06;
8033;Rybnik Obwiednia Pó³nocna 21;Roœliny;17 01 07 - Zmieszane odpady z betonu, gruzu ceglanego, odpadowych materia³ów ceramicznych i elementów wyposa¿enia inne ni¿ wymienione w 17 01 06;
8033;Rybnik Obwiednia Pó³nocna 21;Silikony i akryle do spoinowania;17 01 07 - Zmieszane odpady z betonu, gruzu ceglanego, odpadowych materia³ów ceramicznych i elementów wyposa¿enia inne ni¿ wymienione w 17 01 06;
8033;Rybnik Obwiednia Pó³nocna 21;Styropian i we³na mineralna;17 01 07 - Zmieszane odpady z betonu, gruzu ceglanego, odpadowych materia³ów ceramicznych i elementów wyposa¿enia inne ni¿ wymienione w 17 01 06;
8033;Rybnik Obwiednia Pó³nocna 21;Szk³o, np. szyby , luksfery;17 01 07 - Zmieszane odpady z betonu, gruzu ceglanego, odpadowych materia³ów ceramicznych i elementów wyposa¿enia inne ni¿ wymienione w 17 01 06;
8033;Rybnik Obwiednia Pó³nocna 21;Towary z miksu materia³ów, nie zawieraj¹ce elektroniki, np. kabiny prysznicowe, narzêdzia rêczne itp.;17 01 07 - Zmieszane odpady z betonu, gruzu ceglanego, odpadowych materia³ów ceramicznych i elementów wyposa¿enia inne ni¿ wymienione w 17 01 06;
8033;Rybnik Obwiednia Pó³nocna 21;Towary z tworzyw sztucznych, np. pojemniki;17 01 07 - Zmieszane odpady z betonu, gruzu ceglanego, odpadowych materia³ów ceramicznych i elementów wyposa¿enia inne ni¿ wymienione w 17 01 06;
8033;Rybnik Obwiednia Pó³nocna 21;Ziemia, torf;17 01 07 - Zmieszane odpady z betonu, gruzu ceglanego, odpadowych materia³ów ceramicznych i elementów wyposa¿enia inne ni¿ wymienione w 17 01 06;
8033;Rybnik Obwiednia Pó³nocna 21;Inne, nie wymienione powy¿ej, nie bêd¹ce: makulatur¹, foli¹, drewnem, metalem, art. niebezpiecznymi, np. papa…;17 01 07 - Zmieszane odpady z betonu, gruzu ceglanego, odpadowych materia³ów ceramicznych i elementów wyposa¿enia inne ni¿ wymienione w 17 01 06;
8033;Rybnik Obwiednia Pó³nocna 21;TEST 2;Inny;07 02 13 - Odpady tworzyw sztucznych
8033;Rybnik Obwiednia Pó³nocna 21;;;
8033;Rybnik Obwiednia Pó³nocna 21;;;
8033;Rybnik Obwiednia Pó³nocna 21;;;
8033;Rybnik Obwiednia Pó³nocna 21;;;
8033;Rybnik Obwiednia Pó³nocna 21;;;
8033;Rybnik Obwiednia Pó³nocna 21;;;
8033;Rybnik Obwiednia Pó³nocna 21;;;
8033;Rybnik Obwiednia Pó³nocna 21;;;
8033;Rybnik Obwiednia Pó³nocna 21;;;
8033;Rybnik Obwiednia Pó³nocna 21;;;
8033;Rybnik Obwiednia Pó³nocna 21;;;
8033;Rybnik Obwiednia Pó³nocna 21;;;
8033;Rybnik Obwiednia Pó³nocna 21;;;
8033;Rybnik Obwiednia Pó³nocna 21;;;
8033;Rybnik Obwiednia Pó³nocna 21;;;
